ProviderName,LicenseType,ProviderType,ProviderTypeDescription,QualityRating,QualityRatingDescription,ProviderCapacity,PhysicalCity,PhysicalZipCode,CountyNumber,CountyName,PhoneNumber,Gender,Age,Slots
Adventureland Early Learning Center,LICENSED,4,Center,0,Not Rated,195,BILOXI,39530,24,HARRISON,601-398-4948,3,"4,5",10
"Amarillo Wesley Community Center, Inc.",LICENSED,4,Center,1,Low,195,COLUMBUS,39701,44,LOWNDES,601-731-1553,3,"1,2",10
Avance - Ninos De Uvalde,LICENSED,2,Slot Contractor,0,Not Rated,195,OCEAN SPRINGS,39564,30,JACKSON,662-449-4616,3,"1,2,3",10
Bach-Lien Thi Nguyen,LICENSED,4,Center,0,Not Rated,195,JACKSON,39269,25,HINDS,662-483-1579,3,"1,2,3",10
Betty  Cook,LICENSED,4,Center,3,Good,192,HATTIESBURG,39401,18,FORREST,662-763-4702,3,"1,2,3,4,5",10
AlphaBest @ Corinth Elementary,LICENSED,2,Slot Contractor,0,Not Rated,191,PASCAGOULA,39581,30,JACKSON,601-661-6274,3,"1,2,3",10
Alejandra Flores,LICENSED,3,Group Home,3,Good,190,BROOKHAVEN,39601,43,LINCOLN,601-487-6838,3,"3,4,5",10
Alondra Hatter,LICENSED,4,Center,3,Good,190,BROOKHAVEN,39601,43,LINCOLN,601-648-2828,3,"3,4,5",10
Arlington Heights Christian School,LICENSED,4,Center,4,Very Good,190,BROOKHAVEN,39601,43,LINCOLN,662-329-5061,3,"2,3,4",10
A Step Ahead,LICENSED,4,Center,0,Not Rated,187,HAZLEHURST,39083,15,COPIAH,228-696-2576,3,"2,3",9
Andrea S Combs,LICENSED,4,Center,3,Good,187,HAZLEHURST,39083,15,COPIAH,601-846-6493,3,"1,2,3,4,5",9
A Castles Tale,LICENSED,2,Slot Contractor,1,Low,185,MERIDIAN,39301,38,LAUDERDALE,228-255-7641,3,"1,2,3,4",9
A Child's Discovery,LICENSED,4,Center,0,Not Rated,184,RICHLAND,39218,61,RANKIN,228-263-1108,3,"4,5",9
Avance - Northside Early Head Start Center & Family Education,LICENSED,2,Slot Contractor,0,Not Rated,183,JACKSON,39206,25,HINDS,662-453-4268,3,"2,3,4",9
Awesome Academics Academy,LICENSED,4,Center,0,Not Rated,183,JACKSON,39206,25,HINDS,662-455-3189,3,"2,3,4",9
Best Friends Childcare,LICENSED,4,Center,0,Not Rated,182,RIDGELAND,39157,45,MADISON,662-746-6136,3,"4,5",9
AlphaBest @ Bonham Elementary,LICENSED,2,Slot Contractor,4,Very Good,181,ABERDEEN,39730,48,MONROE,601-657-4281,3,"1,2",9
Bonnie Gabel,LICENSED,4,Center,0,Not Rated,181,MADISON,39110,45,MADISON,228-297-3041,3,"1,2,3",9
A Place to Grow II,LICENSED,4,Center,1,Low,180,PEARL,39208,61,RANKIN,228-522-2424,3,"1,2,3",9
A+ Prep School,LICENSED,4,Center,0,Not Rated,180,BRANDON,39042,61,RANKIN,228-864-5195,3,"1,2,3,4,5",9
After 3 After School Programs,LICENSED,4,Center,4,Very Good,180,CLINTON,39056,25,HINDS,601-410-9789,3,"1,2,3",9
Alto Christian Childcare,LICENSED,4,Center,0,Not Rated,180,COLUMBUS,39705,44,LOWNDES,601-687-5676,3,"3,4,5",9
Atinuke  Akingbade,LICENSED,4,Center,0,Not Rated,180,PASCAGOULA,39567,30,JACKSON,662-378-2388,3,"3,4,5",9
Baby Barn Nursery and Preschool,LICENSED,4,Center,0,Not Rated,180,JACKSON,39213,25,HINDS,662-468-1367,3,"2,3,4",9
Barbara Johnson,LICENSED,4,Center,0,Not Rated,180,JACKSON,39213,25,HINDS,662-561-5661,3,"2,3",9
Bibs To Bags,LICENSED,4,Center,1,Low,180,JACKSON,39211,25,HINDS,662-822-6974,3,"1,2,3,4,5",9
All Gods Children,LICENSED,4,Center,2,Average,179,MACON,39341,52,NOXUBEE,601-583-3569,3,"1,2,3,4",9
Allene Norris Cagle,LICENSED,4,Center,5,Excellent,179,MACON,39341,52,NOXUBEE,601-623-9109,3,"4,5",9
Benbrook Children's Academy,LICENSED,4,Center,0,Not Rated,179,MADISON,39110,45,MADISON,662-735-9404,3,"2,3,4",9
Bethel Childrens DCC,LICENSED,4,Center,5,Excellent,179,MACON,39341,52,NOXUBEE,662-754-2449,3,"2,3,4",9
Antoinette Garcia,LICENSED,4,Center,0,Not Rated,174,CHOCTAW,39350,50,NESHOBA,662-252-1198,3,"4,5",9
Bebes Daycare,LICENSED,4,Center,0,Not Rated,174,GULFPORT,39507,24,HARRISON,662-633-9246,3,"1,2",9
A Childs Day,LICENSED,4,Center,1,Low,173,LAUREL,39443,34,JONES,228-284-0209,3,"1,2,3",9
April Benn,LICENSED,4,Center,0,Not Rated,171,CARTHAGE,39051,40,LEAKE,662-289-3686,3,"1,2,3",9
Alvin ISD DC,LICENSED,4,Center,4,Very Good,169,CANTON,39046,45,MADISON,601-693-8552,3,"1,2,3,4,5",8
Bering Drive Christian School,LICENSED,4,Center,2,Average,169,CANTON,39046,45,MADISON,662-742-0707,3,"1,2,3",8
Agua Dulce Head Start,LICENSED,4,Center,3,Good,168,JACKSON,39206,25,HINDS,601-453-2249,3,"3,4,5",8
Ameen Academy,LICENSED,4,Center,0,Not Rated,168,MADISON,39110,45,MADISON,601-747-9033,3,"3,4,5",8
ABC Christian Child Care,LICENSED,4,Center,3,Good,167,JACKSON,39203,25,HINDS,601-218-2386,3,"2,3,4",8
A+ Quality Childcare Home,LICENSED,4,Center,0,Not Rated,165,RICHLAND,39218,61,RANKIN,228-864-8416,3,"2,3",8
Amber Care Daycare & Learning Center,LICENSED,4,Center,1,Low,163,GREENWOOD,38930,42,LEFLORE,601-736-4266,3,"1,2,3,4,5",8
Binh Yen Luong,LICENSED,4,Center,0,Not Rated,162,JACKSON,39211,25,HINDS,662-840-0007,3,"1,2,3,4",8
All About Kids Daycare,LICENSED,4,Center,0,Not Rated,158,MADISON,39110,45,MADISON,601-551-6249,3,"4,5",8
Acute Childrens Montessori Academy,LICENSED,4,Center,2,Average,156,JACKSON,39203,25,HINDS,601-359-4555,3,"2,3,4",8
Aladdins Castle,LICENSED,4,Center,2,Average,156,JACKSON,39203,25,HINDS,601-480-7273,3,"2,3,4",8
Amaka Child Care Center-YMCA,LICENSED,2,Slot Contractor,0,Not Rated,156,MADISON,39130,45,MADISON,601-701-4792,3,"4,5",8
A Ray of Sunshine,LICENSED,4,Center,0,Not Rated,153,OCEAN SPRINGS,39564,30,JACKSON,228-617-9538,3,"1,2",8
ABC 123 Christian Learning Center,LICENSED,4,Center,0,Not Rated,153,HAZLEHURST,39083,15,COPIAH,318-757-2695,3,"1,2,3",8
Adventure Time CDC,LICENSED,4,Center,0,Not Rated,153,BILOXI,39532,24,HARRISON,601-398-3278,3,"1,2,3",8
Adventure Discovery Center,LICENSED,4,Center,0,Not Rated,150,JACKSON,39212,25,HINDS,601-372-1375,3,"1,2,3,4,5",8
Adventure Kids Playcare,LICENSED,4,Center,0,Not Rated,150,JACKSON,39213,25,HINDS,601-378-9967,3,"1,2,3",8
After 3 After School Program  Durham Elementary School,LICENSED,4,Center,0,Not Rated,150,GULFPORT,39507,24,HARRISON,601-410-8366,3,"3,4,5",8
Aisha Taylor,LICENSED,3,Group Home,3,Good,150,BYRAM,39272,25,HINDS,601-469-3212,3,"3,4,5",8
ALC Early Care And Education Centers,LICENSED,4,Center,0,Not Rated,150,JACKSON,39211,25,HINDS,601-483-8037,3,"2,3,4",8
Aldersgate UMC MDO,LICENSED,4,Center,0,Not Rated,150,JACKSON,39212,25,HINDS,601-485-4252,3,"2,3",8
All Behaviors Considered,LICENSED,4,Center,0,Not Rated,150,TUPELO,38801,41,LEE,601-575-3027,3,"1,2,3,4,5",8
Amazing Kids #1 Childcare,LICENSED,4,Center,1,Low,150,MCCOMB,39648,57,PIKE,601-735-0758,3,"1,2,3,4",8
Amviet Learning Center LLC,LICENSED,4,Center,2,Average,150,CANTON,39046,45,MADISON,601-781-7412,3,"4,5",8
Ana Laura Lopez,LICENSED,3,Group Home,1,Low,150,MADISON,39110,45,MADISON,601-799-2459,3,"2,3,4",8
Ana Tigar-Escobar,LICENSED,3,Group Home,3,Good,150,PICAYUNE,39466,55,PEARL RIVER,601-823-9511,3,"2,3,4",8
Angelkeeper Christian Learning Center,LICENSED,4,Center,0,Not Rated,150,BYRAM,39272,25,HINDS,601-927-6112,3,"4,5",8
Anicia Hubbard,LICENSED,4,Center,0,Not Rated,150,OCEAN SPRINGS,39564,30,JACKSON,601-981-6749,3,"1,2",8
Anoma DeSilva,LICENSED,4,Center,0,Not Rated,150,GREENVILLE,38703,76,WASHINGTON,662-247-2200,3,"1,2,3",8
Any Time Child Care,LICENSED,4,Center,3,Good,150,ECRU,38841,58,PONTOTOC,662-253-8397,3,"1,2,3",8
Apple Tree Child Enrichment Center,LICENSED,4,Center,0,Not Rated,150,CANTON,39046,45,MADISON,662-268-8249,3,"1,2,3,4,5",8
Aracelis Rodriguez Dumars,LICENSED,4,Center,2,Average,150,HERNANDO,38632,17,DESOTO,662-302-0097,3,"1,2,3",8
Arborlawn Children's Academy,LICENSED,4,Center,3,Good,150,SALTILLO,38866,41,LEE,662-303-4147,3,"3,4,5",8
Avance - Rocksprings,LICENSED,2,Slot Contractor,2,Average,150,HATTIESBURG,39402,37,LAMAR,662-450-7516,3,"3,4,5",8
Awesome Kidz Learning Center,LICENSED,4,Center,0,Not Rated,150,ECRU,38841,58,PONTOTOC,662-455-8733,3,"2,3,4",8
Belton Education Station Learning Center,LICENSED,4,Center,0,Not Rated,150,PASCAGOULA,39581,30,JACKSON,662-726-4926,3,"2,3",8
Benbrook Elementary - Westside YMCA,LICENSED,4,Center,1,Low,150,OXFORD,38655,36,LAFAYETTE,662-738-4294,3,"1,2,3,4,5",8
Beth's Green Frog Daycare LLC,LICENSED,4,Center,0,Not Rated,150,JACKSON,39213,25,HINDS,662-746-7848,3,"1,2,3,4",8
Blanche Headstart and Child Development Center,LICENSED,4,Center,0,Not Rated,150,JACKSON,39206,25,HINDS,662-887-2623,3,"4,5",8
Boone Elementary Head Start,LICENSED,4,Center,0,Not Rated,150,MERIDIAN,39305,38,LAUDERDALE,601-214-6460,3,"2,3,4",8
Achievement Center of Texas,LICENSED,4,Center,0,Not Rated,148,JACKSON,39206,25,HINDS,601-346-4011,3,"2,3,4",7
Anh Nhat Tran,LICENSED,4,Center,0,Not Rated,148,JACKSON,39212,25,HINDS,601-966-9060,3,"4,5",7
4-R-A-Cat-A-Me,LICENSED,2,Slot Contractor,0,Not Rated,147,SOUTHAVEN,38672,17,DESOTO,228-222-5564,3,"1,2",7
Abacus School of Austin,LICENSED,4,Center,0,Not Rated,147,JACKSON,39209,25,HINDS,228-934-1820,3,"1,2,3",7
Adebukola  Oyebade,LICENSED,4,Center,0,Not Rated,147,HATTIESBURG,39402,37,LAMAR,601-362-0912,3,"1,2,3",7
All Star Kidz Learning Center,LICENSED,4,Center,0,Not Rated,147,PEARL,39208,61,RANKIN,601-602-4684,3,"1,2,3,4,5",7
Anitas Child Care Home,LICENSED,4,Center,4,Very Good,145,LONG BEACH,39560,24,HARRISON,601-987-3527,3,"1,2,3",7
Bethlehem Childrens Academy,LICENSED,4,Center,1,Low,145,JACKSON,39204,25,HINDS,662-763-2193,3,"3,4,5",7
Angels Among Us,LICENSED,4,Center,0,Not Rated,144,KOSCIUSKO,39090,4,ATTALA,601-937-0767,3,"3,4,5",7
Bebensee Elementary - YMCA of Arlington,LICENSED,4,Center,0,Not Rated,144,KOSCIUSKO,39090,4,ATTALA,662-633-7715,3,"2,3,4",7
A Penny Saved Pre-School Home Care,LICENSED,4,Center,1,Low,143,FLORENCE,39073,61,RANKIN,228-475-5891,3,"2,3",7
Blanca Lilia Espitia,LICENSED,4,Center,0,Not Rated,142,TCHULA,39169,26,HOLMES,662-874-0457,3,"1,2,3,4,5",7
Amy's Playschool,LICENSED,4,Center,1,Low,141,VICKSBURG,39183,75,WARREN,601-795-9877,3,"1,2,3,4",7
Applewood Academy and Day Care Center,LICENSED,4,Center,0,Not Rated,141,MERIDIAN,39307,38,LAUDERDALE,662-289-1021,3,"4,5",7
Bauer School Readiness Academy,LICENSED,4,Center,0,Not Rated,141,VICKSBURG,39183,75,WARREN,662-590-2563,3,"2,3,4",7
Bay Colony Children's House,LICENSED,4,Center,0,Not Rated,141,MERIDIAN,39307,38,LAUDERDALE,662-590-3305,3,"2,3,4",7
Bluebonnet School of Canyon Creek,LICENSED,4,Center,1,Low,141,VICKSBURG,39183,75,WARREN,769-257-5730,3,"4,5",7
Alphabet Soup Child Care,LICENSED,4,Center,0,Not Rated,140,PEARL,39208,61,RANKIN,601-684-3067,3,"1,2",7
Athlene Esther Blaize,LICENSED,4,Center,2,Average,140,BAY SAINT LOUIS,39520,23,HANCOCK,662-375-8536,3,"1,2,3",7
Baby Day Care,LICENSED,4,Center,0,Not Rated,140,HATTIESBURG,39402,37,LAMAR,662-468-2263,3,"1,2,3",7
Babys n Toddlers,LICENSED,4,Center,4,Very Good,140,BAY SAINT LOUIS,39520,23,HANCOCK,662-476-8536,3,"1,2,3,4,5",7
Arleen's Preschool,LICENSED,4,Center,2,Average,139,TUPELO,38801,41,LEE,662-327-8008,3,"1,2,3",7
Avance - Camp Wood Head Start/Early Head Start,LICENSED,2,Slot Contractor,0,Not Rated,138,LAUREL,39440,34,JONES,662-423-6998,3,"3,4,5",7
Arcadia First Baptist Church Mother's Day Out /Preschool,LICENSED,4,Center,4,Very Good,137,TUPELO,38801,41,LEE,662-313-5497,3,"3,4,5",7
Bach Phan,LICENSED,4,Center,1,Low,137,JACKSON,39204,25,HINDS,662-483-1466,3,"2,3,4",7
All Saints Lutheran Children Learning,LICENSED,4,Center,0,Not Rated,136,TUPELO,38801,41,LEE,601-595-1372,3,"2,3",7
"1st Thing 1st Child Development and Learning Center, LLC",LICENSED,3,Group Home,1,Low,135,JACKSON,39203,25,HINDS,228-213-6383,3,"1,2,3,4,5",7
A thru Z Learning Daycare,LICENSED,4,Center,0,Not Rated,135,WEST POINT,39773,13,CLAY,228-697-0232,3,"1,2,3,4",7
Alden Montessori School,LICENSED,4,Center,0,Not Rated,135,JACKSON,39209,25,HINDS,601-485-2927,3,"4,5",7
Amanda Maini,LICENSED,3,Group Home,0,Not Rated,135,VICKSBURG,39183,75,WARREN,601-714-4440,3,"2,3,4",7
America's Choice Childrens Center,LICENSED,4,Center,0,Not Rated,135,COLUMBUS,39705,44,LOWNDES,601-754-3079,3,"2,3,4",7
Aunt Missys Day Care,LICENSED,4,Center,1,Low,135,WEST POINT,39773,13,CLAY,662-378-8003,3,"4,5",7
Bayshore Learning Center,LICENSED,4,Center,0,Not Rated,135,JACKSON,39216,25,HINDS,662-590-7248,3,"1,2",7
BBCDC3 Inc Building Blocks,LICENSED,2,Slot Contractor,0,Not Rated,135,JACKSON,39204,25,HINDS,662-592-0518,3,"1,2,3",7
Be Thi Nguyen,LICENSED,4,Center,0,Not Rated,135,JACKSON,39209,25,HINDS,662-616-6982,3,"1,2,3",7
Alicia Romero,LICENSED,3,Group Home,1,Low,134,BATESVILLE,38606,54,PANOLA,601-544-0810,3,"1,2,3,4,5",7
Boys & Girls Club of Brazoria Club at Beutel,LICENSED,2,Slot Contractor,1,Low,134,CLEVELAND,38732,6,BOLIVAR,601-316-8848,3,"1,2,3",7
Anthony Head Start,LICENSED,4,Center,1,Low,133,PHILADELPHIA,39350,50,NESHOBA,662-247-4513,3,"3,4,5",7
Alice MS Head Start Ctr,LICENSED,4,Center,0,Not Rated,132,MADISON,39110,45,MADISON,601-529-6843,3,"3,4,5",7
Aramis Hunter,LICENSED,4,Center,0,Not Rated,130,STARKVILLE,39759,53,OKTIBBEHA,662-302-1694,3,"2,3,4",7
Avance - Crystal City Early Head Start,LICENSED,2,Slot Contractor,1,Low,130,JACKSON,39212,25,HINDS,662-423-2356,3,"2,3",7
Blanca Hicks,LICENSED,4,Center,0,Not Rated,130,LAUREL,39443,34,JONES,662-873-8990,3,"1,2,3,4,5",7
Bobbie Elaine Jayne,LICENSED,4,Center,0,Not Rated,130,RIDGELAND,39157,45,MADISON,769-572-5725,3,"1,2,3,4",7
Academic Beginnings Child Development Center,LICENSED,4,Center,1,Low,129,BILOXI,39532,24,HARRISON,601-324-1864,3,"4,5",6
Albatros Colegio Infantil,LICENSED,4,Center,0,Not Rated,129,BILOXI,39532,24,HARRISON,601-483-5709,3,"2,3,4",6
All About Kids,LICENSED,4,Center,0,Not Rated,128,VICKSBURG,39180,75,WARREN,601-549-2011,3,"2,3,4",6
All Stars Preschool Academy,LICENSED,4,Center,0,Not Rated,128,CLARKSDALE,38614,14,COAHOMA,601-608-8707,3,"4,5",6
Andre  Williams,LICENSED,4,Center,4,Very Good,128,JACKSON,39209,25,HINDS,601-832-8845,3,"1,2",6
Bang  Khanh Duong,LICENSED,4,Center,4,Very Good,128,FAYETTE,39069,32,JEFFERSON,662-537-4528,3,"1,2,3",6
Bammel Academy & Daycare,LICENSED,4,Center,3,Good,127,PETAL,39465,18,FORREST,662-534-9496,3,"1,2,3",6
Boals Elementary Alphabest,LICENSED,4,Center,0,Not Rated,127,MAGEE,39111,64,SIMPSON,769-456-1996,3,"3,4,5",6
Adventure Kids Playcare,LICENSED,4,Center,3,Good,125,JACKSON,39209,25,HINDS,601-389-1111,3,"3,4,5",6
Agape Christian School,LICENSED,4,Center,3,Good,125,JACKSON,39209,25,HINDS,601-437-5973,3,"2,3,4",6
Alphabet Alley Learning Center,LICENSED,4,Center,3,Good,125,PICAYUNE,39466,55,PEARL RIVER,601-684-1560,3,"2,3",6
Angela  M.  Missouria,LICENSED,3,Group Home,0,Not Rated,125,CORINTH,38834,2,ALCORN,601-866-7118,3,"1,2,3,4,5",6
BISD Community Services - STARS Red Rock Elementary,LICENSED,2,Slot Contractor,1,Low,125,TUPELO,38801,41,LEE,662-843-7188,3,"1,2,3,4",6
A Better Choice Child Care Center,LICENSED,2,Slot Contractor,0,Not Rated,124,MOSS POINT,39562,30,JACKSON,228-234-9348,3,"4,5",6
Advent's Beloved Children  ABC Learning Center,LICENSED,4,Center,0,Not Rated,123,BILOXI,39532,24,HARRISON,601-371-6318,3,"2,3,4",6
Abundia Jalomo,LICENSED,4,Center,1,Low,120,LONG BEACH,39560,24,HARRISON,601-317-8912,3,"2,3,4",6
Adriana Nunez,LICENSED,3,Group Home,0,Not Rated,120,JACKSON,39206,25,HINDS,601-366-3713,3,"4,5",6
Alisa Wuemling,LICENSED,3,Group Home,0,Not Rated,120,GREENVILLE,38701,76,WASHINGTON,601-544-4804,3,"1,2",6
Ampelon Christian Day Care & School LLC,LICENSED,4,Center,5,Excellent,120,ABERDEEN,39730,48,MONROE,601-776-6769,3,"1,2,3",6
Angela's Day Care,LICENSED,3,Group Home,0,Not Rated,120,CLINTON,39056,25,HINDS,601-918-0794,3,"1,2,3",6
Araselia Cardenas,LICENSED,4,Center,0,Not Rated,120,GREENWOOD,38930,42,LEFLORE,662-302-7334,3,"1,2,3,4,5",6
Ashford Montessori,LICENSED,4,Center,1,Low,120,JACKSON,39206,25,HINDS,662-335-9601,3,"1,2,3",6
Auntie Audreys House Daycare,LICENSED,4,Center,0,Not Rated,120,MADISON,39110,45,MADISON,662-379-3941,3,"3,4,5",6
Bambini Learning Institute,LICENSED,4,Center,0,Not Rated,120,JACKSON,39212,25,HINDS,662-528-6027,3,"3,4,5",6
Barbara Cunningham,LICENSED,4,Center,1,Low,120,TERRY,39170,25,HINDS,662-548-5280,3,"2,3,4",6
Belinda Sanchez,LICENSED,4,Center,0,Not Rated,120,GREENWOOD,38930,42,LEFLORE,662-719-2724,3,"2,3",6
Blessing's On Earth,LICENSED,4,Center,0,Not Rated,120,JACKSON,39206,25,HINDS,662-902-0509,3,"1,2,3,4,5",6
